layer_name,parameter_group,parameter_count,delta_l2,relative_delta_l2,maximum_absolute_delta,seed,target_pdp,method,adaptation_blocks,adaptation_epochs,learning_rate,adaptation_optimizer
encoder_conv_1,shared,1536,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
encoder_conv_2,shared,98432,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
encoder_conv_3,shared,24640,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
encoder_conv_4,shared,386,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
channel_est_conv_1,shared,2816,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
channel_est_conv_2,shared,98432,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
channel_est_conv_3,shared,24640,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
channel_est_conv_4,shared,6176,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
channel_est_conv_5,shared,291,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
channel_est_dense_1,shared,40900,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
estimated_channel,shared,4040,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
decoder_conv_1,particular,102656,0.07878030091524124,0.00690288016711322,0.0021808333694934845,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
decoder_res1_input,particular,163968,0.0641447976231575,0.004815585274606159,0.0011723670177161694,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
decoder_res1_conv1,shared,82048,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
decoder_res1_conv2,particular,82048,0.033217184245586395,0.0028046510145966824,0.0012119747698307037,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
decoder_res2_input,shared,41024,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
decoder_res2_conv1,shared,20544,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
decoder_res2_conv2,shared,12352,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
decoder_conv_final,shared,6176,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
pred_logits_full,shared,97,0.0,0.0,0.0,2026,6,algorithm1_particular_adaptation,2048,20,0.01,SGD
